No,Date,Total AF,Total Acc AF,Max G/M
1,1/23/2021,0,0,0
2,1/24/2021,0,0,0
3,1/25/2021,0,0,0
4,1/26/2021,0,0,0
5,1/27/2021,0,0,0
6,1/28/2021,0,0,0
7,1/29/2021,0,0,0
8,1/30/2021,0,0,0
9,1/31/2021,0,0,0
10,2/1/2021,0,0,0
11,2/2/2021,0,0,0
12,2/3/2021,0,0,0
13,2/4/2021,0,0,0
14,2/5/2021,0,0,0
15,2/6/2021,0,0,0
16,2/7/2021,0,0,0
17,2/8/2021,0,0,0
18,2/9/2021,0,0,0
19,2/10/2021,0,0,0
20,2/11/2021,0,0,0
21,2/12/2021,0,0,0
22,2/13/2021,0,0,0
23,2/14/2021,0,0,0
24,2/15/2021,0,0,0
25,2/16/2021,0,0,0
26,2/17/2021,0,0,0
27,2/18/2021,0,0,0
28,2/19/2021,0,0,0
29,2/20/2021,0,0,0
30,2/21/2021,0,0,0
31,2/22/2021,0,0,0
32,2/23/2021,0,0,0
33,2/24/2021,0,0,0
34,2/25/2021,0,0,0
35,2/26/2021,0,0,0
36,2/27/2021,0,0,0
37,2/28/2021,0,0,0
38,3/1/2021,0,0,0
39,3/2/2021,0,0,0
40,3/3/2021,0,0,0
41,3/4/2021,0,0,0
42,3/5/2021,0,0,0
43,3/6/2021,0,0,0
44,3/7/2021,0,0,0
45,3/8/2021,0,0,0
46,3/9/2021,0,0,0
47,3/10/2021,0,0,0
48,3/11/2021,0.58,0.58,412.3
49,3/12/2021,1.32,1.9,357.13
50,3/13/2021,0.91,2.81,374.99
51,3/14/2021,0,2.81,0
52,3/15/2021,0.19,3,437.62
53,3/16/2021,0,3,0
54,3/17/2021,0.9,3.9,519.97
55,3/18/2021,0.85,4.76,326.75
56,3/19/2021,0,4.76,0
57,3/20/2021,0,4.76,0
58,3/21/2021,0.77,5.53,396.57
59,3/22/2021,1.15,6.67,313.95
60,3/23/2021,1.11,7.78,307.82
61,3/24/2021,1.05,8.83,300.09
62,3/25/2021,1.2,10.03,282.77
63,3/26/2021,0.61,10.64,284.37
64,3/27/2021,0.49,11.13,310.49
65,3/28/2021,0.67,11.79,172.97
66,3/29/2021,0.63,12.43,144.45
67,3/30/2021,0.28,12.71,143.12
68,3/31/2021,0,12.71,0
69,4/1/2021,0,12.71,0
70,4/2/2021,0.68,13.39,441.35
71,4/3/2021,1.26,14.65,307.56
72,4/4/2021,1.31,15.95,305.43
73,4/5/2021,1.28,17.23,447.21
74,4/6/2021,1.26,18.5,292.1
75,4/7/2021,1.26,19.76,373.92
76,4/8/2021,1.24,21,291.57
77,4/9/2021,1.29,22.29,418.16
78,4/10/2021,1.31,23.6,299.83
79,4/11/2021,0.05,23.65,371.79
80,4/12/2021,0.6,24.25,375.52
81,4/13/2021,1.33,25.58,311.02
82,4/14/2021,1.11,26.69,444.55
83,4/15/2021,1.32,28.01,305.16
84,4/16/2021,0.91,28.91,386.71
85,4/17/2021,0.37,29.29,298.5
86,4/18/2021,0.94,30.23,475.73
87,4/19/2021,0.98,31.21,315.82
88,4/20/2021,1.2,32.41,279.31
89,4/21/2021,1,33.4,293.97
90,4/22/2021,1.23,34.63,287.04
91,4/23/2021,1.01,35.64,301.96
92,4/24/2021,1.18,36.83,300.89
93,4/25/2021,1.08,37.91,273.98
94,4/26/2021,1.17,39.08,276.91
95,4/27/2021,0.8,39.88,284.9
96,4/28/2021,0.79,40.66,311.02
97,4/29/2021,0.88,41.54,309.96
98,4/30/2021,0.98,42.52,349.4
99,5/1/2021,0.45,42.97,345.94
100,5/2/2021,1.11,44.09,370.19
101,5/3/2021,1.14,45.22,387.78
102,5/4/2021,1.08,46.3,422.16
103,5/5/2021,1.4,47.7,482.66
104,5/6/2021,1.67,49.37,616.18
105,5/7/2021,1.04,50.41,471.73
106,5/8/2021,0.71,51.12,358.99
107,5/9/2021,0,51.12,0
108,5/10/2021,0.56,51.68,457.6
109,5/11/2021,0.36,52.04,460.27
110,5/12/2021,0,52.04,0
111,5/13/2021,0,52.04,0
112,5/14/2021,0,52.04,0
113,5/15/2021,0,52.04,0
114,5/16/2021,0,52.04,0
115,5/17/2021,0,52.04,14.39
116,5/18/2021,0,52.04,0
117,5/19/2021,0,52.04,0
118,5/20/2021,0,52.04,0
119,5/21/2021,0,52.04,0
120,5/22/2021,0,52.04,0
121,5/23/2021,0,52.04,0
122,5/24/2021,0,52.04,0
123,5/25/2021,0,52.04,0
124,5/26/2021,0,52.04,0
